RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.ppm_0project_text,cleansed.ppm_0project_text,AEDAT,changedOn,date,str-yyyy-mm-dd-to-date,,
raw.ppm_0rpm_bucket_guid_id_text,cleansed.ppm_0rpm_bucket_guid_id_text,CHANGED_ON,changedOn,TimeStamp,str-dd-MMM-yyyy-HH-mm-to-timestamp,,
raw.ppm_0rpm_decision_guid_id_text,cleansed.ppm_0rpm_decision_guid_id_text,CHANGED_ON,changedOn,TimeStamp,str-dd-MMM-yyyy-HH-mm-to-timestamp,,
raw.ppm_0rpm_port_guid_attr,cleansed.ppm_0rpm_port_guid_attr,CHANGED_ON,changedOn,TimeStamp,str-dd-MMM-yyyy-HH-mm-to-timestamp,,
raw.ppm_0rpm_port_guid_id_text,cleansed.ppm_0rpm_port_guid_id_text,CHANGED_ON,changedOn,TimeStamp,str-dd-MMM-yyyy-HH-mm-to-timestamp,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,AEDAT,changedOn,date,str-yyyy-mm-dd-to-date,,
raw.ppm_0wbs_elemt_text,cleansed.ppm_0wbs_elemt_text,AEDAT,changedOn,date,str-yyyy-mm-dd-to-date,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,RPM_CHANGED_ON,changedOn,TimeStamp,str-dd-MMM-yyyy-HH-mm-to-timestamp,,
raw.ppm_ihpa,cleansed.ppm_ihpa,AEDAT,changedOn,Date,str-yyyy-mm-dd-to-date,,
raw.ppm_rpm_relation_d,cleansed.ppm_rpm_relation_d,CHANGED_ON,changedOn,TimeStamp,str-dd-MMM-yyyy-HH-mm-to-timestamp,,
raw.ppm_ihpa,cleansed.ppm_ihpa,AENAM,changedPersonName,String,,,
raw.ppm_ihpa,cleansed.ppm_ihpa,AEZEIT,changedTime,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ZZCIP_TYPE,cipAssetType,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZCIP_TYPE,cipAssetType,String,,,
raw.ppm_0rpm_port_guid_attr,cleansed.ppm_0rpm_port_guid_attr,ZZHIERARCHY,classificationHierarchy,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,COMM_PROJECT,commercialProject,String,flag-x-yes-no,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ZZCMPJ,commericalProject,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZCMPJ,commericalProject,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,COMPLETED_WORK_STATUS,completedWorkStatus,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,SUBCATEGORY,consequenceofFailure,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,CONTRACTUAL_STATUS,contractualStatus,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,KOSTL,costCenter,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,KOSTL,costCenter,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,COST_VAR_CATEG,costVarianceCategory,String,,,
raw.ppm_ihpa,cleansed.ppm_ihpa,COUNTER,counterDigit,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,CPR_GUID,CPRGUID,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,CPR_GUID,cprGUID,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,CPR_GUID_ODP,CPRGUIDODP,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,CPR_GUID_ODP,cprGuidOdp,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ERDAT,createdOn,date,str-yyyy-mm-dd-to-date,,
raw.ppm_0project_text,cleansed.ppm_0project_text,ERDAT,createdOn,date,str-yyyy-mm-dd-to-date,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ERDAT,createdOn,date,str-yyyy-mm-dd-to-date,,
raw.ppm_0wbs_elemt_text,cleansed.ppm_0wbs_elemt_text,ERDAT,createdOn,date,str-yyyy-mm-dd-to-date,,
