RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ERDAT,createdOn,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,DUMMY_FAA_ASSET_INCL_EEW_PS,dataElement,String,,,
raw.eam_anla,cleansed.eam_anla,SDM_STATUS,dataMigrationStatus,String,,,
raw.eam_anla,cleansed.eam_anla,AUFLA,dateOfConveyance,String,,,
raw.eam_anla,cleansed.eam_anla,EHWZU,dateOfNOA,Date,str-yyyy-mm-dd-to-date,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,DATETO,dateValidityEnds,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,DEAKT,deactivationDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,DEAKT,deactivationDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.eam_anla,cleansed.eam_anla,UMWKZ,environmentalInvestmentReason,String,,,
raw.eam_anla,cleansed.eam_anla,EXTRACT_DATETIME,extract_datetime,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.eam_0asset_main_text,cleansed.eam_0asset_main_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.eam_anla,cleansed.eam_anla,ZUJHR,firstAcquistionFiscalYear,Integer,,,
raw.eam_anla,cleansed.eam_anla,ZUPER,firstAcquistionPeriod,Integer,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,FKBER,functionalArea,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,GEBER,fund,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,GRANT_NBR,grant,String,,,
raw.eam_anla,cleansed.eam_anla,XANLGR,groupAssetIndicator,String,flag-x-yes-no,,
