RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.fin_cobrb,cleansed.fin_cobrb,BUREG,distributionRuleGroup,Integer,,,
raw.fin_cobrb,cleansed.fin_cobrb,EXTNR,distributionRuleNumber,Integer,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,ORT02,district,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,ORT02,district,String,,,
raw.fin_0ac_doc_typ_text,cleansed.fin_0ac_doc_typ_text,BLART,documentType,String,,,
raw.fin_0ac_doc_typ_text,cleansed.fin_0ac_doc_typ_text,LTEXT,documentTypeDescription,String,,,
raw.fin_cobra,cleansed.fin_cobra,ERNAM,enteredBy,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,USNAM,enteredBy,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,USNAM,enteredBy,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,ERSDA,enteredOn,date,str-yyyy-mm-dd-to-date,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,ERSDA,enteredOn,Date,str-yyyy-mm-dd-to-date,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,ETYPE,equityType,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,AQZIF,equivalenceOrderSettlement,Integer,,,
raw.fin_cobrb,cleansed.fin_cobrb,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_cobra,cleansed.fin_cobra,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_coss,cleansed.fin_coss,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_cosp,cleansed.fin_cosp,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0gl_account_text,cleansed.fin_0gl_account_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0profit_ctr_text,cleansed.fin_0profit_ctr_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0ac_ledger_text,cleansed.fin_0ac_ledger_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0ac_doc_typ_text,cleansed.fin_0ac_doc_typ_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0co_area_text,cleansed.fin_0co_area_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0comp_code_attr,cleansed.fin_0comp_code_attr,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0comp_code_text,cleansed.fin_0comp_code_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0costcenter_text,cleansed.fin_0costcenter_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0costelmnt_text,cleansed.fin_0costelmnt_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0version_text,cleansed.fin_0version_text,EXTRACT_DATETIME,extract_datetime,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,TELFX,faxNumber,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,TELFX,faxNumber,String,,,
raw.fin_cobra,cleansed.fin_cobra,LYOPR,finalYearOldPlanSettlement,Integer,,,
raw.fin_coss,cleansed.fin_coss,GJAHR,fiscalYear,Integer,,,
raw.fin_cosp,cleansed.fin_cosp,GJAHR,fiscalYear,Integer,,,
raw.fin_coss,cleansed.fin_coss,PAF001,fixedPriceVariance1,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF010,fixedPriceVariance10,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF011,fixedPriceVariance11,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF012,fixedPriceVariance12,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF013,fixedPriceVariance13,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF014,fixedPriceVariance14,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF015,fixedPriceVariance15,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF016,fixedPriceVariance16,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF002,fixedPriceVariance2,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF003,fixedPriceVariance3,Float,,,
raw.fin_coss,cleansed.fin_coss,PAF004,fixedPriceVariance4,Float,,,
