RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,AP_DET_PROC,actionProfileProcedure,String,,,
raw.crm_scapptseg,cleansed.crm_scapptseg,APPL_GUID,applicationGUID,String,,,
raw.crm_crm_svy_re_quest,cleansed.crm_crm_svy_re_quest,APPLICATION ,application,String,trimcoalesce,,
raw.crm_crm_svy_db_s,cleansed.crm_crm_svy_db_s,APPLICATIONID,application,String,,,
raw.crm_scapptseg,cleansed.crm_scapptseg,APPT_GUID,apptGUID,String,trimcoalesce,,
raw.crm_scapptseg,cleansed.crm_scapptseg,APPT_TYPE,apptType,String,,,
raw.crm_scapptseg,cleansed.crm_scapptseg,APPT_TYPE,apptTypeDescription,String,,,lookup-crm-appointment-description
raw.crm_scapttxt,cleansed.crm_scapttxt,APPT_TYPE,apptType,String,trimcoalesce,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,APRV_DET_PROC,approvalDeterminationProcedureID,String,,,
raw.crm_skwg_brel,cleansed.crm_skwg_brel,ARCH_A,archivingAFlag,String,,,
raw.crm_skwg_brel,cleansed.crm_skwg_brel,ARCH_B,archivingBFlag,String,,,
raw.crm_crmc_erms_cat_as,cleansed.crm_crmc_erms_cat_as,ASP_CA_MODIFY,categoryTreeModifyDatetime,Timestamp,int-utc-to-sydney-datetime,,
raw.crm_crmc_erms_cat_as,cleansed.crm_crmc_erms_cat_as,ASP_DELETED,categoryTreeDeletedFlag,String,flag-x-yes-no,,
raw.crm_crmc_erms_cat_as,cleansed.crm_crmc_erms_cat_as,ASP_GUID,categoryTreeGUID,String,trimcoalesce,,
raw.crm_crmc_erms_cat_ca,cleansed.crm_crmc_erms_cat_ca,ASP_GUID,categoryTreeGUID,String,,,
raw.crm_crmv_erms_cat_ca,cleansed.crm_crmv_erms_cat_ca,ASP_GUID,categoryTreeGUID,String,trimcoalesce,,
raw.crm_crmd_srv_subject,cleansed.crm_crmd_srv_subject,ASP_ID,categoryTreeID,String,,,
raw.crm_crmc_erms_cat_as,cleansed.crm_crmc_erms_cat_as,ASP_ID,categoryTreeID,String,,,
raw.crm_crmv_erms_cat_ca,cleansed.crm_crmv_erms_cat_ca,ASP_ID,categoryTreeID,String,trimcoalesce,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,ASP_ID_C,coherentAspectIDC,String,,,
raw.crm_0crm_srv_req_inci_h,cleansed.crm_0crm_srv_req_inci_h,ASP_ID_D,coherentAspectIDD,String,,,
raw.crm_crmv_erms_cat_ca,cleansed.crm_crmv_erms_cat_ca,ASP_LABEL,categoryTreeDescription,String,trimcoalesce,,
raw.crm_crmc_erms_cat_as,cleansed.crm_crmc_erms_cat_as,ASP_MODE_AU,categoryTreeAuthorisationMode,String,,,
raw.crm_crmc_erms_cat_as,cleansed.crm_crmc_erms_cat_as,ASP_MS,categoryTreeMainStructure,String,,,
raw.crm_crmc_erms_cat_as,cleansed.crm_crmc_erms_cat_as,ASP_SORTED,categoryTreeSorted,String,flag-x-yes-no,,
raw.crm_crmc_erms_cat_as,cleansed.crm_crmc_erms_cat_as,ASP_STATE,categoryTreeSchemaStatus,String,,,
raw.crm_crmv_erms_cat_ca,cleansed.crm_crmv_erms_cat_ca,ASP_STATE,categoryTreeState,String,trimcoalesce,,
raw.crm_crmc_erms_cat_as,cleansed.crm_crmc_erms_cat_as,ASP_TYPE,categoryTreeType,String,,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,ATP_TYPE,atpType,String,,,
raw.crm_crmd_brelvonae,cleansed.crm_crmd_brelvonae,ATTRIBUT,attributeLink,String,,,
